URL,DSLD ID,Product Name,Brand Name,Bar Code,Net Contents,Serving Size,Product Type [LanguaL],Supplement Form [LanguaL],Date Entered into DSLD,Market Status,Suggested Use
https://dsld.od.nih.gov/label/542,542,B-2 100 mg,Vitamin World,0 74312 70640 0,100 Easy To Swallow Coated Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-11-25,On Market,DIRECTIONS: For adults; take one (1) to two (2) tablets daily; preferably with a meal.
https://dsld.od.nih.gov/label/543,543,B-6 100 mg,Vitamin World,0 74312 70653 0,250 Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-11-25,Off Market,DIRECTIONS: For adults; take one (1) tablet daily; preferably with a meal.
https://dsld.od.nih.gov/label/544,544,C-1000 mg With Protective Bioflavonoids And Wild Rose Hips,Vitamin World,0 74312 70695 0,500 Coated Caplet(s),1 Caplet(s),Other Combinations [A1325],Other (e.g. tea bag) [E0172],2011-11-25,Off Market,DIRECTIONS: For adults; take one (1) to two (2) caplets daily; preferably with meals.
https://dsld.od.nih.gov/label/545,545,Niacin 250 mg,Vitamin World,0 74312 70723 0,250 Easy To Swallow Coated Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-11-25,On Market,DIRECTIONS: For adults; take one (1) tablet daily; preferably with a meal.
https://dsld.od.nih.gov/label/546,546,Niacinamide 500 mg,Vitamin World,0 74312 70730 8,100 Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-10-26,On Market,DIRECTIONS: For adults; take one (1) tablet daily; preferably with a meal.
https://dsld.od.nih.gov/label/547,547,Brewer's Yeast,Vitamin World,0 74312 70745 2,500 Tablet(s),2 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2011-11-25,On Market,DIRECTIONS: For adults; take two (2) tablets three times daily; preferably with meals.
https://dsld.od.nih.gov/label/548,548,Mega B-100,Vitamin World,0 74312 70772 8,100 Coated Caplet(s),1 Caplet(s),Other Combinations [A1325],Other (e.g. tea bag) [E0172],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) caplet daily; preferably with a meal.
https://dsld.od.nih.gov/label/549,549,Gelatin 650 mg,Vitamin World,0 74312 70783 4,250 Rapid Release Capsule(s),2 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2011-10-26,On Market,DIRECTIONS: For adults; take two (2) capsules after each meal and at bedtime.
https://dsld.od.nih.gov/label/550,550,E-Oil,Vitamin World,0 74312 70810 7,2.5 fl. Oz.; 74 mL,0.25 mL [5 drops],Vitamin [A1302],Liquid [E0165],2011-10-26,On Market,DIRECTIONS: For adults; take five (5) drops (0.25 mL) daily; preferably with a meal. May be taken orally or put in water; juice or food. As a moisturizer; apply directly to your skin.
https://dsld.od.nih.gov/label/551,551,Creatine Caps 700 mg,Precision Engineered,0 74312 70906 7,120 Rapid Release Capsule(s),6 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2011-10-26,On Market,DIRECTIONS: For adults; take 6 capsules daily with juice or other glucose-containing liquid.  Take this product with an adequate fluid intake.
https://dsld.od.nih.gov/label/552,552,Hardcore Creatine Powder,Precision Engineered,0 74312 70907 4,18 oz.; 1.1 lb; 510 g,5 Gram(s) [1 heaping tsp],Non-Nutrient/Non-Botanical [A1309],Powder [E0162],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) heaping teaspoon (5 g) daily.  Mix with juice or other glucose-containing liquid.  Creatine should be consumed within 10 minutes after mixing.  Take this product with an adequate fluid intake.
https://dsld.od.nih.gov/label/553,553,Hardcore Creatine Powder,Precision Engineered,0 74312 70908 1,35.27 oz.; 2.2 lb; 1 kg,5 Gram(s) [1 heaping tsp],Non-Nutrient/Non-Botanical [A1309],Powder [E0162],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) heaping teaspoon (5 g) daily.  Mix with juice or other glucose-containing liquid.  Creatine should be consumed within 10 minutes after mixing.  Take this product with an adequate fluid intake.
https://dsld.od.nih.gov/label/554,554,Echinacea With Goldenseal Root,Vitamin World,0 74312 70922 7,100 Rapid Release Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) to two (2) capsules three times daily; preferably with meals.
https://dsld.od.nih.gov/label/555,555,Uva Ursi,Vitamin World,0 74312 70931 9,100 Rapid Release Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) to two (2) capsules; three times daily; preferably with meals.  Capsules may be opened and prepared as a tea.
https://dsld.od.nih.gov/label/556,556,Zygest Super Papaya Plus,Vitamin World,0 74312 70982 1,180 Delicious Chewable Wafer(s),1 Wafer(s),Other Combinations [A1325],Other (e.g. tea bag) [E0172],2011-10-26,Off Market,DIRECTIONS: For adults; chew three (3) wafers following a meal; one to three times daily; or dissolve one (1) or two (2) wafers in mouth when needed.
https://dsld.od.nih.gov/label/557,557,Vitamin A 10000 IU,Vitamin World,0 74312 71023 0,250 Rapid Release Softgel(s),1 Softgel(s),Vitamin [A1302],Softgel Capsule [E0161],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) softgel daily; preferably with a meal.
https://dsld.od.nih.gov/label/558,558,Artichoke Extract,Vitamin World,0 74312 71055 1,100 Rapid Release Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2011-10-26,On Market,DIRECTIONS: For adults; take one (1) capsule one to two times daily; preferably with meals.  Capsules may be opened and prepared as a tea.
https://dsld.od.nih.gov/label/559,559,Premium Lecithin Granules,Vitamin World,0 74312 71060 5,30 oz.; 850 g,1 Tbsp [8 g],Other Combinations [A1325],Powder [E0162],2011-10-26,On Market,DIRECTIONS: For adults; take one (1) tablespoon (8 g) one or two times daily; preferably with a meal.  Soy Lecithin is a pleasant tasting dietary supplement.  It may be taken with any solid or liquid food.
https://dsld.od.nih.gov/label/560,560,Bee Pollen Granules,Vitamin World,0 74312 71071 1,10 oz.; 283 g,1 tsp [3 g-9 g],Botanical with Nutrients [A1317],Powder [E0162],2011-10-26,On Market,DIRECTIONS: For adults; take one (1) to three (3) teaspoons (3 g-9 g) daily.  If you have never taken bee products; start with one teaspoon (3 g) per day and increase gradually in order to assess whether you are allergic.
https://dsld.od.nih.gov/label/561,561,Chelated Potassium 99 mg,Vitamin World,0 74312 71113 8,250 Caplet(s),1 Caplet(s),Mineral [A1299],Other (e.g. tea bag) [E0172],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) caplet daily; preferably with a meal.
https://dsld.od.nih.gov/label/562,562,Zygest Papaya Enzyme,Vitamin World,0 74312 71135 0,500 Delicious Chewable Tablet(s),3 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2011-10-26,Off Market,DIRECTIONS: For adults; chew three (3) tablets following a meal; one to three times daily. Tablets may be chewed or swallowed.
https://dsld.od.nih.gov/label/563,563,Sunvite Vitamin D3 400 IU,Vitamin World,0 74312 71143 5,250 Easy To Swallow Coated Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) tablet; one to two times daily; preferably with a meal.
https://dsld.od.nih.gov/label/564,564,Cod Liver Oil,Vitamin World,0 74312 71153 4,250 Rapid Release Softgel(s),1 Softgel(s),Other Combinations [A1325],Softgel Capsule [E0161],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) to four (4) softgels daily; preferably with a meal.
https://dsld.od.nih.gov/label/565,565,B-6 50 mg,Vitamin World,0 74312 71163 3,250 Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-10-26,On Market,DIRECTIONS: For adults; take one (1) to two (2) tablets daily; preferably with meals.
https://dsld.od.nih.gov/label/566,566,B-12 100 mcg,Vitamin World,0 74312 71173 2,250 Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-10-26,On Market,DIRECTIONS: For adults; take one (1) to five (5) tablets daily; preferably with a meal.
https://dsld.od.nih.gov/label/567,567,Beta-Carotene Provitamin A 25000 IU,Vitamin World,0 74312 71223 4,250 Rapid Release Softgel(s),1 Softgel(s),Vitamin [A1302],Softgel Capsule [E0161],2011-10-26,On Market,DIRECTIONS: For adults; take one (1) softgel daily; preferably with a meal.
https://dsld.od.nih.gov/label/568,568,Complete B Complex,Vitamin World,0 74312 71253 1,250 Easy to Swallow Coated Caplet(s),2 Caplet(s),Vitamin [A1302],Other (e.g. tea bag) [E0172],2011-10-26,On Market,DIRECTIONS: For adults; take two (2) to four (4) caplets daily; preferably with meals.
https://dsld.od.nih.gov/label/569,569,C&E With Wild Rose Hips,Vitamin World,0 74312 71261 6,100 Rapid Release Softgel(s),1 Softgel(s),Botanical with Nutrients [A1317],Softgel Capsule [E0161],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) softgel one to two times daily; preferably with a meal.
https://dsld.od.nih.gov/label/570,570,Valerian Root,Vitamin World,0 74312 71328 6,90 Rapid Release Softgel(s),1 Softgel(s),Botanical [A1306],Softgel Capsule [E0161],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) or two (2) softgels daily; preferably 30 minutes before bedtime or rest.
https://dsld.od.nih.gov/label/571,571,Amino Acid Chelated Copper 2 mg,Vitamin World,0 74312 71330 9,100 Tablet(s),1 Tablet(s),Mineral [A1299],Tablet or Pill [E0155],2011-10-26,On Market,
https://dsld.od.nih.gov/label/572,572,Amino Acid Chelated Manganese 5 mg,Vitamin World,0 74312 71350 7,100 Easy To Swallow Coated Tablet(s),1 Tablet(s),Amino acid/Protein [A1305],Tablet or Pill [E0155],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) tablet daily; preferably with a meal.
https://dsld.od.nih.gov/label/573,573,B-12 500 mcg,Vitamin World,0 74312 71373 6,250 Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-10-26,On Market,
https://dsld.od.nih.gov/label/574,574,Timed Release B-12 1000 mcg,Vitamin World,0 74312 71383 5,250 Caplet(s),1 Caplet(s),Vitamin [A1302],Other (e.g. tea bag) [E0172],2011-10-26,On Market,DIRECTIONS: For adults; take one (1) to five (5) caplets daily; preferably with a meal.
https://dsld.od.nih.gov/label/575,575,Blackstrap Molasses & Chelated Iron,Vitamin World,0 74312 71390 3,100 Rapid Release Softgel(s),1 Softgel(s),Botanical with Nutrients [A1317],Softgel Capsule [E0161],2011-10-26,On Market,DIRECTIONS: For adults; take one (1) to two (2) softgels daily; preferably with meals.
https://dsld.od.nih.gov/label/576,576,Folic Acid 400 mcg,Vitamin World,0 74312 71403 0,250 Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) to two (2) tablets daily; preferably with a meal.
https://dsld.od.nih.gov/label/577,577,C-1000 mg With Protective Bioflavonoids,Vitamin World,0 74312 71410 8,100 Rapid Release Capsule(s),1 Capsule(s),Botanical with Nutrients [A1317],Capsule [E0159],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) to two (2) capsules daily; preferably with meals.
https://dsld.od.nih.gov/label/578,578,Bilberry Fruit 1000 mg,Vitamin World,0 74312 71434 4,90 Rapid Release Softgel(s),1 Softgel(s),Botanical [A1306],Softgel Capsule [E0161],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) softgel once or twice daily; preferably with a meal.
https://dsld.od.nih.gov/label/579,579,Liquid L-Carnitine 500 mg,Vitamin World,0 74312 71445 0,16 fl. Oz.; 473 mL,1 Tbsp [15 mL-60 mL],Other Combinations [A1325],Liquid [E0165],2011-10-26,On Market,DIRECTIONS: For adults; take one (1) (15 mL) to four (4) (60 mL) tablespoons daily; preferably on an empty stomach.
https://dsld.od.nih.gov/label/580,580,Organic Flax Seed Oil 1000 mg,Vitamin World,0 74312 71454 2,240 Rapid Release Softgel(s),1 Softgel(s),Botanical with Nutrients [A1317],Softgel Capsule [E0161],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) to three (3) softgels one to three times daily; with a meal.
